country,country_code,cpi_score,gdp_growth,control_of_corruption,government_effectiveness,regulatory_quality,fdi_inflow
Sao Tome and Principe,STP,45.0,1.09999940100751,0.360224694013596,-0.90243524312973,-0.940236151218414,
Saudi Arabia,SAU,59.0,1.99650173436159,0.536042988300323,0.796441078186035,0.517070889472961,15737.0
Senegal,SEN,45.0,6.06055141198976,0.0578322261571884,0.0696751922369003,-0.345079481601715,2016.0
Serbia,SRB,35.0,3.94992622592932,-0.447204262018204,0.00763431889936328,0.137915700674057,5635.0
Seychelles,SYC,72.0,3.46568066415341,1.62884771823883,0.624744176864624,0.211075112223625,299.0
Sierra Leone,SLE,33.0,4.29322336690163,-0.574557840824127,-1.1555837392807,-1.06417989730835,274.0
Singapore,SGP,84.0,4.38802362461865,2.04018402099609,2.31747198104858,2.30859136581421,143352.0
Slovakia,SVK,49.0,1.93867445549446,0.292565286159515,0.229512304067612,0.601919114589691,
Slovenia,SVN,60.0,1.73139722479493,0.776647090911865,1.03929400444031,0.731421768665314,1296.0
Solomon Islands,SLB,43.0,2.99755987604104,-0.134710744023323,-0.733603537082672,-0.780060708522797,33.0
Somalia,SOM,9.0,4.11139335779471,-1.73283362388611,-1.98020255565643,-1.87981820106506,
South Africa,ZAF,41.0,0.534843531905139,-0.284670442342758,-0.256946682929993,-0.223697945475578,2469.0
South Korea,KOR,64.0,2.00361101838986,0.894088566303253,1.40480732917786,1.122523188591,
Spain,ESP,56.0,3.45525405630191,0.629368722438812,0.752065539360046,0.693764328956604,30543.0
Sri Lanka,LKA,32.0,5.00871930957159,-0.383976995944977,-0.25227889418602,-0.507761836051941,761.0
Sudan,SDN,15.0,-13.9643375197179,-1.50206708908081,-1.97706210613251,-1.6031391620636,
Suriname,SUR,40.0,1.72095737011739,-0.404351592063904,-0.967238128185272,-0.728055536746979,-27.0
Sweden,SWE,80.0,0.820071806703865,2.0282461643219,1.60138332843781,1.71801710128784,18288.0
Switzerland,CHE,81.0,1.30233332541106,2.02199912071228,2.13492703437805,1.72938001155853,-60708.0
Tajikistan,TJK,19.0,8.39999980983981,-1.37873339653015,-0.772318005561829,-1.17822289466858,291.0
Tanzania,TZA,41.0,5.5263138305945,-0.319897323846817,-0.455080926418304,-0.588394701480865,
Thailand,THA,34.0,2.54182067735289,-0.489050775766373,0.171705812215805,0.158257782459259,10580.0
Togo,TGO,32.0,6.53204505563791,-0.619174957275391,-0.578052043914795,-0.493230193853378,84.0
Trinidad and Tobago,TTO,41.0,2.50920813979569,-0.374148547649384,-0.0436432547867298,-0.130735039710999,-799.0
Tunisia,TUN,39.0,1.61444564976986,-0.341899782419205,-0.300515085458755,-0.6191326379776,936.0
Turkey,TUR,34.0,3.3276230893799,-0.50248908996582,-0.247911587357521,-0.229510217905045,
Turkmenistan,TKM,17.0,6.2994265836889,-1.42362427711487,-1.2064995765686,-2.06809759140015,1645.0
Uganda,UGA,26.0,6.05558075875589,-1.04257476329803,-0.549508571624756,-0.517365336418152,3305.0
Ukraine,UKR,35.0,2.9138222142611,-0.686146318912506,-0.357320100069046,-0.266427397727966,3329.0
United Arab Emirates,ARE,68.0,3.99180705485398,1.07366383075714,1.60428190231323,1.04239141941071,45632.0
United Kingdom,GBR,71.0,1.1264226705118,1.48091387748718,1.16114270687103,1.53656673431396,-40003.0
United States,USA,65.0,2.79300127716779,1.12343263626099,1.21720099449158,1.39373278617859,278848.0
Uruguay,URY,76.0,3.10825478066172,1.57394731044769,0.850249707698822,0.675111055374146,-1735.0
Uzbekistan,UZB,32.0,6.49999999997677,-0.807529330253601,-0.283767521381378,-0.576817333698273,2836.0
Vanuatu,VUT,50.0,0.942185362275907,-0.0148651544004679,-0.568605482578278,-0.119526423513889,29.0
Venezuela,VEN,10.0,5.29999999999984,-1.69000518321991,-1.599200963974,-2.02624750137329,
Vietnam,VNM,40.0,7.09118746633975,-0.415814280509949,0.126466900110245,-0.382607728242874,20170.0
Zambia,ZMB,39.0,3.82004825518591,-0.477706879377365,-0.658970057964325,-0.49810004234314,1238.0
Zimbabwe,ZWE,21.0,1.74239524880791,-1.26121604442596,-1.17033493518829,-1.33835864067078,597.0
